product_id,price,stock_status
4666,21,instock
4668,"12,3",instock
4669,"20,2",instock
4670,17,instock
4671,"21,9",instock
4672,"17,8",instock
4673,"19,8",instock
4674,19,instock
4675,"10,7",instock
4676,"12,9",instock
4677,"9,5",instock
4678,"29,8",instock
4679,"13,2",instock
4680,"6,3",instock
4681,"7,1",instock
4682,"9,1",instock
4683,"9,1",instock
4684,"18,1",instock
4686,14,instock
4687,"30,1",instock
4689,"12,8",instock
4690,"12,8",instock
4692,12,instock
4693,"18,5",outofstock
4697,"34,5",instock
4698,"20,5",outofstock
4702,"23,8",outofstock
4703,"19,8",instock
4704,"18,2",outofstock
4705,"31,6",instock
4706,"16,8",instock
4707,"22,8",instock
4708,"32,6",instock
4709,44,outofstock
4711,"55,4",instock
4712,"15,8",outofstock
4713,"18,4",instock
4714,"13,3",instock
4715,"11,1",instock
4716,"18,6",instock
4717,"23,4",outofstock
4718,"18,2",instock
4719,"12,5",instock
4720,"15,9",instock
4721,"20,2",outofstock
4722,"13,7",outofstock
4723,29,instock
4725,"23,4",instock
4726,"12,7",outofstock
4727,26,instock
4728,"29,5",instock
4729,"8,6",instock
4730,"14,3",instock
4731,22,instock
4733,"16,8",instock
4734,"15,3",instock
4738,"13,5",instock
4739,"7,4",instock
4740,"9,7",instock
4741,"12,4",outofstock
4744,"13,8",instock
4748,"14,5",instock
4749,"11,9",instock
4750,"16,4",instock
4752,"27,9",instock
4753,12,instock
4755,"7,4",instock
4757,"26,5",instock
4758,"24,3",instock
4759,"16,9",instock
4776,"6,8",instock
4778,"13,9",outofstock
4779,"7,8",instock
4780,"13,7",instock
4782,"9,8",instock
4783,"29,5",instock
4784,"28,5",instock
4785,"10,1",instock
4786,"12,1",instock
4788,"12,3",instock
4789,"11,1",instock
4790,"11,1",instock
4791,"13,6",instock
4792,21,instock
4793,"18,7",instock
4794,"41,6",outofstock
4795,12,instock
4797,78,outofstock
4798,"12,7",outofstock
4799,"14,9",instock
4858,"6,5",instock
4860,"8,7",instock
4861,"8,5",instock
4862,"9,9",instock
4863,"8,2",outofstock
4864,"8,3",outofstock
4865,"9,8",instock
4867,"9,9",outofstock
4869,"17,2",outofstock
4870,"9,3",outofstock
4874,"14,6",outofstock
4876,"22,8",instock
4885,"18,7",instock
4886,"28,4",instock
4888,"27,9",instock
4889,"25,3",outofstock
4890,17,instock
4891,"27,9",outofstock
4892,"20,1",instock
4893,"27,9",outofstock
4899,"21,2",instock
4900,"20,8",instock
4901,41,instock
4902,46,instock
4903,"102,3",instock
4904,137,instock
4907,"22,9",instock
4908,"53,2",instock
4909,"25,9",instock
4910,"17,3",outofstock
4911,23,outofstock
4912,"25,9",instock
4913,28,instock
4914,"25,9",instock
4915,"25,9",instock
4918,"37,2",outofstock
4919,"24,4",outofstock
4920,"24,4",instock
4921,"13,8",outofstock
4922,"21,5",outofstock
4923,7,instock
4924,"12,8",outofstock
4925,"23,2",outofstock
4926,"7,9",instock
4927,"6,5",outofstock
4928,"7,9",instock
4929,"16,7",instock
4930,"17,5",instock
4931,"27,8",instock
4932,"25,7",outofstock
4933,"18,4",instock
4934,"22,2",instock
4936,"11,1",instock
4937,"9,9",instock
4938,"12,5",outofstock
4939,"12,9",outofstock
4940,"20,5",instock
4954,25,instock
4962,"11,3",instock
4963,7,instock
4964,"12,1",instock
4965,"7,1",instock
4970,"49,5",outofstock
4973,10,outofstock
4974,23,instock
4975,"23,7",instock
4976,"16,45",instock
4977,"16,3",instock
4978,"18,5",outofstock
4980,"26,5",instock
4994,78,instock
4995,78,outofstock
4996,78,instock
5000,"27,3",outofstock
